"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U910","2019-08-14 00:00:00","17.000","277.000","0.300","28.300","0.840","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","26.500",""
"C0U600","2019-08-14 00:00:00","10.000","276.000","0.400","26.300","0.900","1001.700","-99.000","9.000","-99.000","-99.000","-99.000","32.200","","25.700",""
"C0G820","2019-08-14 00:00:00","29.000","0.000","0.000","27.400","0.900","999.600","-99.000","93.500","-99.000","-99.000","-99.000","29.800","","23.700",""
"C0R590","2019-08-14 00:00:00","72.000","350.000","1.400","25.700","0.990","996.400","-99.000","138.500","-99.000","-99.000","-99.000","28.900","","24.300",""
"C0A9E0","2019-08-14 00:00:00","26.000","309.000","1.500","28.900","0.790","1000.400","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","27.800",""
"C0R480","2019-08-14 00:00:00","57.000","56.000","0.700","26.600","0.920","998.000","-99.000","133.000","-99.000","-99.000","-99.000","31.800","","24.200",""
"C0X300","2019-08-14 00:00:00","70.000","0.000","0.000","25.200","0.960","996.100","-99.000","105.500","-99.000","-99.000","-99.000","31.000","","24.000",""
"C0U970","2019-08-14 00:00:00","7.000","271.000","0.800","27.400","0.830","1003.000","-99.000","5.000","-99.000","-99.000","-99.000","31.700","","26.700",""
"C0M750","2019-08-14 00:00:00","10.000","159.000","2.300","27.300","0.890","1002.600","-99.000","64.000","-99.000","-99.000","-99.000","28.800","","24.500",""
"C0I110","2019-08-14 00:00:00","161.000","48.000","0.500","26.200","0.990","986.300","-99.000","41.500","-99.000","-99.000","-99.000","31.800","","22.900",""
"C0V370","2019-08-14 00:00:00","74.000","59.000","1.300","25.100","1.000","996.700","-99.000","215.000","-99.000","-99.000","-99.000","27.300","","24.000",""
"C0C690","2019-08-14 00:00:00","242.000","289.000","0.900","26.500","0.790","976.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.200",""
"C0A540","2019-08-14 00:00:00","401.000","0.000","0.000","22.300","0.980","955.700","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","22.300",""
"C0H950","2019-08-14 00:00:00","192.000","0.000","0.000","25.400","0.990","983.600","-99.000","15.000","-99.000","-99.000","-99.000","32.700","","23.600",""
"C0R360","2019-08-14 00:00:00","20.000","256.000","1.400","27.200","-99.000","1002.800","-99.000","18.500","-99.000","-99.000","-99.000","30.700","","24.900",""
"C0O960","2019-08-14 00:00:00","112.000","114.000","1.600","25.800","0.920","991.800","-99.000","183.500","-99.000","-99.000","-99.000","29.000","","24.100",""
"C0AH10","2019-08-14 00:00:00","30.000","166.000","0.900","29.000","0.710","998.400","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","27.600",""
"C0X210","2019-08-14 00:00:00","38.000","155.000","2.000","26.700","0.880","998.100","-99.000","118.500","-99.000","-99.000","-99.000","29.800","","24.000",""
"C0D430","2019-08-14 00:00:00","87.000","0.000","0.000","24.300","0.990","992.300","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.900",""
